구분,모집시작,모집마감,체험 대상,창의적 체험활동 제목,창의적 체험활동 장소,주소
7352,2016-07-29,2016-08-10,"중학교,고등학교,교원",삼성도서관 우리 문화재 감상법(여름 방학 저자 특강),삼성1동 문화센터 7층 강당,서울특별시 강남구 봉은사로 616 삼성1동문화센터
7353,2016-07-28,2016-08-19,"고등학교,중학교",전쟁기념관  청소년 역사탐방,교육홍보부,서울특별시 용산구 이태원로 29(용산동 1가)
7354,2016-07-28,2016-08-06,초등학교,서울영어과학교육센터  과학교실 방학특강,서울영어과학교육센터,서울특별시 노원구 중계동 507-1
7355,2016-07-27,2016-09-30,"중학교,초등학교",철도박물관  폭폭이와 함께하는 철도역사여행,철도박물관 2층 특별전시장,경기도 의왕시 철도박물관로142
7356,2016-07-27,2016-08-31,초등학교,논현도서관 첫 문장에 반하는 논술,논현도서관 어린이실,서울 강남구 학동로43길 17 논현2문화센터 6층
7357,2016-07-27,2016-08-31,"중학교,유치원,고등학교,초등학교,교원",윤동주문학관 제2회 전국 윤동주창작음악제,윤동주문학관,서울특별시 종로구 창의문로 119
7358,2016-07-27,2016-08-17,중학교,제주관광대학교 항공승무원체험,제주관광대학교,제주특별자치도 제주시 애월읍 평화로 2715
7359,2016-07-27,2016-08-17,중학교,제주관광대학교 뷰티션직업체험,제주관광대학교,제주특별자치도 제주시 애월읍 평화로 2715
7360,2016-07-26,2016-09-30,"중학교,고등학교,초등학교,교원",강원진로교육원 나무장난감 만들기 공모전,강원진로교육원,강원도 속초시 미시령로 3337번길 30
7361,2016-07-26,2016-08-27,초등학교,신문박물관  2016 여름 토요놀이교실  신문과 놀아요,신문박물관,"서울특별시 종로구 세종대로 152 일민미술관건물 5, 6층 (110-050)"
7362,2016-07-26,2016-08-26,"중학교,고등학교",제주대학교 대학도서관에서 만나는 사서   직업체험,제주대학교,제주특별자치도 제주시 제주대학로 102
7363,2016-07-26,2016-08-24,"중학교,초등학교",목인박물관  2016 전시연계 교육 2. 부라 나 마노 홀리 헤이,목인박물관,기타
7364,2016-07-26,2016-08-24,"중학교,유치원,고등학교,초등학교",목인박물관  2016 전시연계 교육 1. 마을 수호자 이야기,목인박물관,기타
7365,2016-07-26,2016-08-17,"고등학교,중학교",전쟁기념관 내 꿈은 큐레이터,전쟁기념관 2층 역사체험교육실/전시실,서울특별시 용산구 이태원로 29(용산동 1가)
7366,2016-07-26,2016-08-08,초등학교,종로문화재단  2016 우리동네 예술학교 어린이뮤지컬교육,종로문화재단,"서울특별시 종로구 경희궁1길 15 (신문로2가, 세종로자치회관 2층 3층)"
7367,2016-07-26,2016-07-28,초등학교,국립중앙박물관 박학다식 박물관학교,"상설전시관, 어린이박물관, 교육관",서울시 용산구 서빙고로 137
7368,2016-07-26,2016-07-28,초등학교,기획전시 연계프로그램 무대조명놀이,국립극장 공연예술박물관,서울특별시 중구 장충단로 59 국립극장 공연예술박물관
7369,2016-07-25,0000-00-00,초등학교,김포중봉청소년수련관 청소년무료야구교실 2기,김포시유소년야구단 연습장,경기도 김포시 걸포로 76
7370,2016-07-25,2016-12-31,초등학교,꿈의교실  조선의 왕과 대한민국의 대통령,꿈의교실,대구광역시 수성구 시지동 390-4 방자빌딩 5층
7371,2016-07-25,2016-12-31,초등학교,꿈의교실  우리 고장의 역사와 문화2,꿈의교실,대구광역시 수성구 시지동 390-4 방자빌딩 5층
7372,2016-07-25,2016-12-31,초등학교,꿈의교실  우리 고장의 전통과 자랑,꿈의교실,대구광역시 수성구 시지동 390-4 방자빌딩 5층
7373,2016-07-25,2016-12-31,초등학교,꿈의교실  우리 고장의 사회와 경제,꿈의교실,대구광역시 수성구 시지동 390-4 방자빌딩 5층
7374,2016-07-25,2016-12-04,초등학교,꿈의교실 대전2 (신기한 과학체험),꿈의교실,대구광역시 수성구 시지동 390-4 방자빌딩 5층
7375,2016-07-25,2016-10-31,초등학교,꿈의교실  사천 (한국의 항공 우주 문화를 찾아서),꿈의교실,대구광역시 수성구 시지동 390-4 방자빌딩 5층
7376,2016-07-25,2016-10-16,초등학교,"꿈의교실  청주 (한국의 인쇄문화, 직지를 찾아서)",꿈의교실,대구광역시 수성구 시지동 390-4 방자빌딩 5층
7377,2016-07-25,2016-10-09,초등학교,꿈의교실  부여 (백제의 마지막 도읍지),꿈의교실,대구광역시 수성구 시지동 390-4 방자빌딩 5층
7378,2016-07-25,2016-10-02,초등학교,꿈의교실  공주 (백제의 역사와 문화),꿈의교실,대구광역시 수성구 시지동 390-4 방자빌딩 5층
7379,2016-07-25,2016-10-01,"유치원,초등학교",금천청소년수련관  리듬체조,금천청소년수련관,서울특별시 금천구 금하로30길 54 (시흥2동 산84-7) 서울시립금천청소년수련관
7380,2016-07-25,2016-09-18,초등학교,꿈의교실  김해1 (수로왕의 전설이 전하는 금관가야),꿈의교실,대구광역시 수성구 시지동 390-4 방자빌딩 5층
7381,2016-07-25,2016-09-04,초등학교,꿈의교실  안동2 (전통 한지와 하회 별신굿 탈놀이),꿈의교실,대구광역시 수성구 시지동 390-4 방자빌딩 5층
7382,2016-07-25,2016-09-03,초등학교,꿈의교실  포항 (우리나라 제철산업의 중심지) 프로그램,꿈의교실,대구광역시 수성구 시지동 390-4 방자빌딩 5층
7383,2016-07-25,2016-08-30,"중학교,고등학교",윤동주문학관 제3회 전국 청소년 윤동주시화공모전,윤동주문학관,서울특별시 종로구 창의문로 119
7384,2016-07-25,2016-08-26,초등학교,논현도서관 어린이 북캐스터 2기,열린도서관 내 강의실,서울특별시 강남구 학동로 343 포바강남타워
7385,2016-07-25,2016-08-10,초등학교,한국도로공사수목원 2016년 수목원 여름생태학교(1차),한국도로공사수목원,전북 전주시 덕진구 번영로 462-45 (반월동) 한국도로공사수목원
7386,2016-07-25,2016-08-08,"중학교,유치원,고등학교,초등학교,교원",문화유산국민신탁 문화유산투어버스 군산 근대유산 탐방,문화유산국민신탁,서울 중구 정동길 41-11
7387,2016-07-25,2016-08-08,초등학교,부산근대역사관 개항 140주년 부산항 별곡,근대역사관 전시실,부산광역시 중구 대청로 104 부산광역시 부산근대역사관
7388,2016-07-25,2016-07-31,"중학교,고등학교,초등학교",꿈의교실  창의력 발달 프로그램(대전),꿈의교실,대구광역시 수성구 시지동 390-4 방자빌딩 5층
7389,2016-07-25,2016-07-31,초등학교,꿈의교실  우리 고장의 자연과 환경,꿈의교실,대구광역시 수성구 시지동 390-4 방자빌딩 5층
7390,2016-07-25,2016-07-31,"중학교,고등학교,초등학교",꿈의교실  2016년 여름방학 기획 국립중앙박물관 일일투어,꿈의교실,대구광역시 수성구 시지동 390-4 방자빌딩 5층
7391,2016-07-25,2016-07-31,"중학교,고등학교,초등학교",꿈의교실  잡월드 직업체험,꿈의교실,대구광역시 수성구 시지동 390-4 방자빌딩 5층
7392,2016-07-25,2016-07-30,"중학교,고등학교,초등학교",금천청소년수련관  재즈댄스,금천청소년수련관,서울특별시 금천구 금하로30길 54 (시흥2동 산84-7) 서울시립금천청소년수련관
7393,2016-07-23,2016-09-04,초등학교,논현도서관 일기는 읽기다,논현도서관 어린이실,서울 강남구 학동로43길 17 논현2문화센터 6층
7394,2016-07-23,2016-08-21,"고등학교,초등학교,교원,중학교,유치원",영은미술관  사이_Between,영은미술관,경기도 광주시 청석로 300
7395,2016-07-23,2016-08-06,초등학교,울주군청소년수련관 청소년수영수련,울주청소년수련관,울산광역시 울주군 삼남면 울산역로 345
7396,2016-07-22,2019-06-30,"고등학교,초등학교,교원,중학교",대구  국립대구과학관  야간관측,국립대구과학관,대구광역시 달성군 유가읍 테크노대로 6길 20
7397,2016-07-22,2016-12-31,초등학교,꿈의교실  우리 고장의 역사와 문화 1  역사체험프로그램,꿈의교실,대구광역시 수성구 시지동 390-4 방자빌딩 5층
7398,2016-07-22,2016-12-31,초등학교,꿈의교실  우리 고장의 위인과 인물,꿈의교실,대구광역시 수성구 시지동 390-4 방자빌딩 5층
7399,2016-07-22,2016-07-30,"중학교,고등학교",신월청소년문화센터  청소년요리봉사단 2기 추가모집,신월청소년문화센터,서울특별시 양천구 가로공원로 86(신월동)
7400,2016-07-22,2016-07-28,"유치원,초등학교",김천녹색미래과학관 우리는 과학마술사,기타,경상북도 김천시 혁신6로 31
7401,2016-07-22,2016-07-27,"중학교,초등학교",북구청소년문화의집 꿈찾기 직업체험  제빵사,파리팡스,울산광역시 북구 연암동 361-1
7402,2016-07-22,2016-07-27,"중학교,초등학교",북구청소년문화의집 꿈찾기 직업체험  소잉작가,누리보듬,울산광역시 북구 연암동 361-1
7403,2016-07-22,2016-07-25,초등학교,국립중앙박물관 국립중앙박물관에서 1박2일,국립중앙박물관 곳곳,서울시 용산구 서빙고로 137
7404,2016-07-21,2016-08-14,"교원,중학교,유치원,고등학교,초등학교",한강몽땅  한강이불영화제,여의도한강공원 이벤트광장 및 민속놀이마당 일대,서울특별시 영등포구 여의동로 330 한강사업본부 여의도안내센터
7405,2016-07-21,2016-08-03,초등학교,구립망원청소년문화센터 청소년 역사탐방 프로그램 망원나루터,망원청소년문화센터,서울시 마포구 월드컵로 25길 164
7406,2016-07-21,2016-08-03,초등학교,서울시립화곡청소년수련관 청소년 인성교육 특강,서울시립화곡청소년수련관,서울시 강서구 곰달래로 57가길 26
7407,2016-07-21,2016-07-31,초등학교,문화유산국민신탁 청소년 문화유산 탐방단(초등),문화유산국민신탁,서울 중구 정동길 41-11
7408,2016-07-21,2016-07-31,"중학교,유치원,고등학교,초등학교,교원",문화유산국민신탁 대한제국 탐방단,문화유산국민신탁,서울 중구 정동길 41-11
7409,2016-07-21,2016-07-31,"중학교,고등학교,초등학교,교원","문화유산국민신탁 청소년 근대유산 탐방단(중학,고교)",문화유산국민신탁,서울 중구 정동길 41-11
7410,2016-07-21,2016-07-27,초등학교,증권박물관 신용이랑 꼭꼭 약속해,증권박물관,경기도 고양시 일산동구 호수로 358-8 한국예탁결제원 6층 증권박물관
7411,2016-07-21,2016-07-25,초등학교,서울  나만의 필통 만들기,송파구립 마천청소년수련관,서울 송파구 마천1동 325-5
7412,2016-07-21,,"중학교,고등학교,교원",검단선사박물관  7월 10월 문화가 있는 날,검단선사박물관 기획전시실 및 제2전시실,인천광역시 서구 고산후로121번길 7
7413,2016-07-20,2017-02-19,"중학교,고등학교,교원",백남준아트센터  기획전  뉴 게임플레이(New Gameplay),백남준아트센터,경기도 용인시 기흥구 백남준로 10
7414,2016-07-20,2016-08-24,"중학교,초등학교","한국철도공사 고속철도 메카, 그 현장을 체험하다",수도권철도차량정비단,경기 고양시 덕양구 행주로 108-1 (행주내동) 수도권철도차량정비단
7415,2016-07-20,2016-08-06,초등학교,보라매 JOB월드,보라매청소년수련관,서울특별시 동작구 여의대방로20길 33 시립보라매청소년수련관
7416,2016-07-20,2016-08-02,초등학교,김포에코센터  보고 듣고 생각하는 기후변화 이야기,김포에코센터,경기도 김포시 운양동 1246-1
7417,2016-07-20,2016-08-01,"중학교,고등학교",만안청소년수련관 안양국제청소년영화제 영화캠프 참가자 모집,남양주종합촬영소,경기도 안양시 만안구 냉천로 31번길 33
7418,2016-07-20,2016-07-30,"유치원,초등학교",농소3동도서관  여름방학 청소년 재능기부 프로그램,울산 북구 농소3동 도서관,울산광역시 북구 동대15길 27
7419,2016-07-20,2016-07-29,초등학교,대한민국역사박물관 떠나요 50년전 대한민국으로 ,6층 제 1강의실,서울특별시 종로구 세종대로 1
7420,2016-07-20,2016-07-29,초등학교,대한민국역사박물관 우표로 보는 대한민국,6층 제 1강의실,서울특별시 종로구 세종대로 198
7421,2016-07-20,2016-07-29,초등학교,대한민국역사박물관  1966년 시간여행,6층 제 1강의실,서울특별시 종로구 세종대로 198
7422,2016-07-20,2016-07-29,초등학교,대한민국역사박물관  인물과 함께하는 우리역사보물창고 여행,1층 우리역사보물창고,서울특별시 종로구 세종대로 198
7423,2016-07-20,2016-07-29,"유치원,초등학교",대한민국역사박물관  대한민국에는 무슨일이 있었을까요,대한민국역사박물관 6층 제1강의실,서울특별시 종로구 세종대로 198
7424,2016-07-20,2016-07-29,"유치원,초등학교",대한민국역사박물관  대한민국 상징이야기,대한민국 역사박물관 6층 제1강의실,서울특별시 종로구 세종대로 198
7425,2016-07-19,2016-09-04,"중학교,유치원,고등학교,초등학교,교원",조선통신사역사관  명작 애니메이션 Festival,조선통신사역사관,부산광역시 동구 자성로 99(범일동 380-4) 조선통신사역사관
