구분,모집시작,모집마감,체험 대상,창의적 체험활동 제목,창의적 체험활동 장소,주소
1589,2019-08-13,2019-12-26,"중학교,유치원,교원,고등학교,초등학교",강원 국립산악박물관  문화가 있는 날 프로그램(큐레이터가 말하는 산과 사람이야기/산과 영화의 만남) 안내,기획전시실(1F) 및 영상실,강원도 속초시 미시령로 3054
1590,2019-08-13,2019-10-08,"고등학교,교원",서울  성동구립용답도서관  길 위의 인문학,성동구립용답도서관,서울시 성동구 용답 중앙3길 10
1591,2019-08-13,2019-09-28,"고등학교,초등학교,교원,중학교,유치원","서울 서울한방진흥센터  2019년 9월  즐거운 한방 DIY (토요일 오후   14시 쌍화탕 약재 만들기, 15시 홍삼 미스트 만들기)","1층 교육문화체험실, 2층 박물관 전시실",서울특별시 동대문구 약령중앙로 26
1592,2019-08-13,2019-09-28,초등학교,"서울 서울한방진흥센터  2019년 9월  우리가족 힐링한방 (토요일 오전   오미자 에이드, 국화 족욕 솔트 만들기)","1층 교육문화체험실, 2층 야외 족욕장, 2층 전시장",서울특별시 동대문구 약령중앙로 26
1593,2019-08-13,2019-09-27,"고등학교,초등학교,중학교",광주  광주동구청소년수련관  2019 제20회 무등청소년문화예술제,광주동구청소년수련관,광주광역시 동구 의재로 43번길 27-3
1594,2019-08-13,2019-09-20,"고등학교,초등학교,중학교,유치원,교원",서울 서울한방진흥센터  2019년 9월 예술가와 함께 나만의 한방예술품 만들기  아트콜라보  비밀의 화원,3층 다목적강당,서울특별시 동대문구 약령중앙로 26
1595,2019-08-13,2019-08-24,초등학교,강원  동해시청소년수련관  여권없이 떠나는 여행,동해시청소년수련관 및 관외 체험처,강원도 동해시 승지로 315
1596,2019-08-13,2019-08-21,"교원,고등학교,초등학교,중학교,유치원","서울 좋은공연안내센터  강병인 초대전  독립열사 말씀,글씨로 보다 ",좋은공연안내센터 B1 다목적홀,서울특별시 종로구 대학로 104
1597,2019-08-13,2019-08-19,교원,경북  청송군다문화가족지원센터  슬기로운 아빠 생활 교육 대상자 모집,청송군다문화가족지원센터,경상북도 청송군 청송읍 금월로 244-30
1598,2019-08-12,2019-11-21,초등학교,서울  광진청소년수련관  해봄스쿨 2학기 참가자 모집,광진청소년수련관,서울시 광진구 구천면로 2
1599,2019-08-12,2019-11-13,"고등학교,교원,중학교",경기 수원시평생학습관  은희경 작가 특강 책에게 말 걸기,1층 대강당,경기도 수원시 팔달구 월드컵로 381번길 2
1600,2019-08-12,2019-09-22,"초등학교,유치원",경기  이천시립효양도서관  공룡 팝업북 만들기,효양도서관,경기도 이천시 부발읍 경충대로2250번길 35
1601,2019-08-12,2019-09-13,"고등학교,초등학교,교원,중학교",경기  이천시립효양도서관  드라이 플라워 리스 만들기,이천시립효양도서관,경기도 이천시 부발읍 경충대로2250번길 35
1602,2019-08-12,2019-09-11,초등학교,인천  인천서구청소년수련관  수련활동인증제_민주주의 보드게임 교실,인천서구청소년수련관,인천광역시 서구 원창로 92(원창동)
